,coord1,coord2,coord1.norm,coord2.norm,spotID,histology,region,cluster
20x34,20,34,1.174285714,1.909230769,ST231,Cancer cells and desmoplasia,Cancer,Cancer region
19x34,19,34,1.113571429,1.909230769,ST209,Cancer cells and desmoplasia,Cancer,Cancer region
18x34,18,34,1.052857143,1.909230769,ST188,Cancer cells and desmoplasia,Cancer,Cancer region
17x34,17,34,0.992142857,1.909230769,ST167,Cancer cells and desmoplasia,Cancer,Cancer region
16x34,16,34,0.931428571,1.909230769,ST146,Cancer cells and desmoplasia,Cancer,Cancer region
15x34,15,34,0.870714286,1.909230769,ST125,Cancer cells and desmoplasia,Cancer,Cancer region
14x34,14,34,0.81,1.909230769,ST103,Cancer cells and desmoplasia,Cancer,
13x34,13,34,0.749285714,1.909230769,ST81,Interstitium,Stroma,
12x34,12,34,0.688571429,1.909230769,ST60,Interstitium,Stroma,
11x34,11,34,0.627857143,1.909230769,ST39,Interstitium,Stroma,
22x33,22,33,1.295714286,1.838076923,ST270,Cancer cells and desmoplasia,Cancer,Cancer region
21x33,21,33,1.235,1.838076923,ST251,Cancer cells and desmoplasia,Cancer,Cancer region
20x33,20,33,1.174285714,1.838076923,ST230,Cancer cells and desmoplasia,Cancer,Cancer region
19x33,19,33,1.113571429,1.838076923,ST208,Cancer cells and desmoplasia,Cancer,Cancer region
18x33,18,33,1.052857143,1.838076923,ST187,Cancer cells and desmoplasia,Cancer,Cancer region
17x33,17,33,0.992142857,1.838076923,ST166,Cancer cells and desmoplasia,Cancer,Cancer region
16x33,16,33,0.931428571,1.838076923,ST145,Cancer cells and desmoplasia,Cancer,Cancer region
15x33,15,33,0.870714286,1.838076923,ST124,Cancer cells and desmoplasia,Cancer,Cancer region
14x33,14,33,0.81,1.838076923,ST102,Cancer cells and desmoplasia,Cancer,Cancer region
13x33,13,33,0.749285714,1.838076923,ST80,Interstitium,Stroma,
12x33,12,33,0.688571429,1.838076923,ST59,Interstitium,Stroma,
11x33,11,33,0.627857143,1.838076923,ST38,Interstitium,Stroma,
10x33,10,33,0.567142857,1.838076923,ST18,Interstitium,Stroma,
9x33,9,33,0.506428571,1.838076923,ST428,Interstitium,Stroma,
8x33,8,33,0.445714286,1.838076923,ST415,Duct epithelium,Duct epithelium,
7x33,7,33,0.385,1.838076923,ST408,Duct epithelium,Duct epithelium,
6x33,6,33,0.324285714,1.838076923,ST400,Duct epithelium,Duct epithelium,
25x32,25,32,1.477857143,1.766923077,ST321,Cancer cells and desmoplasia,Cancer,Cancer region
24x32,24,32,1.417142857,1.766923077,ST305,Cancer cells and desmoplasia,Cancer,Cancer region
23x32,23,32,1.356428571,1.766923077,ST288,Cancer cells and desmoplasia,Cancer,Cancer region
22x32,22,32,1.295714286,1.766923077,ST269,Cancer cells and desmoplasia,Cancer,Cancer region
21x32,21,32,1.235,1.766923077,ST250,Cancer cells and desmoplasia,Cancer,Cancer region
20x32,20,32,1.174285714,1.766923077,ST229,Cancer cells and desmoplasia,Cancer,Cancer region
19x32,19,32,1.113571429,1.766923077,ST207,Cancer cells and desmoplasia,Cancer,Cancer region
18x32,18,32,1.052857143,1.766923077,ST186,Cancer cells and desmoplasia,Cancer,Cancer region
17x32,17,32,0.992142857,1.766923077,ST165,Cancer cells and desmoplasia,Cancer,Cancer region
16x32,16,32,0.931428571,1.766923077,ST144,Cancer cells and desmoplasia,Cancer,Cancer region
15x32,15,32,0.870714286,1.766923077,ST123,Cancer cells and desmoplasia,Cancer,Cancer region
14x32,14,32,0.81,1.766923077,ST101,Cancer cells and desmoplasia,Cancer,Cancer region
13x32,13,32,0.749285714,1.766923077,ST79,Cancer cells and desmoplasia,Cancer,
12x32,12,32,0.688571429,1.766923077,ST58,Interstitium,Stroma,
11x32,11,32,0.627857143,1.766923077,ST37,Interstitium,Stroma,
10x32,10,32,0.567142857,1.766923077,ST17,Interstitium,Stroma,
9x32,9,32,0.506428571,1.766923077,ST427,Duct epithelium,Duct epithelium,
8x32,8,32,0.445714286,1.766923077,ST414,Duct epithelium,Duct epithelium,
7x32,7,32,0.385,1.766923077,ST407,Duct epithelium,Duct epithelium,
6x32,6,32,0.324285714,1.766923077,ST399,Duct epithelium,Duct epithelium,
26x31,26,31,1.538571429,1.695769231,ST336,Cancer cells and desmoplasia,Cancer,Cancer region
25x31,25,31,1.477857143,1.695769231,ST320,Cancer cells and desmoplasia,Cancer,Cancer region
24x31,24,31,1.417142857,1.695769231,ST304,Cancer cells and desmoplasia,Cancer,Cancer region
23x31,23,31,1.356428571,1.695769231,ST287,Cancer cells and desmoplasia,Cancer,Cancer region
22x31,22,31,1.295714286,1.695769231,ST268,Cancer cells and desmoplasia,Cancer,Cancer region
21x31,21,31,1.235,1.695769231,ST249,Cancer cells and desmoplasia,Cancer,Cancer region
20x31,20,31,1.174285714,1.695769231,ST228,Cancer cells and desmoplasia,Cancer,Cancer region
19x31,19,31,1.113571429,1.695769231,ST206,Cancer cells and desmoplasia,Cancer,Cancer region
18x31,18,31,1.052857143,1.695769231,ST185,Cancer cells and desmoplasia,Cancer,Cancer region
17x31,17,31,0.992142857,1.695769231,ST164,Cancer cells and desmoplasia,Cancer,Cancer region
16x31,16,31,0.931428571,1.695769231,ST143,Cancer cells and desmoplasia,Cancer,Cancer region
15x31,15,31,0.870714286,1.695769231,ST122,Cancer cells and desmoplasia,Cancer,Cancer region
14x31,14,31,0.81,1.695769231,ST100,Cancer cells and desmoplasia,Cancer,Cancer region
13x31,13,31,0.749285714,1.695769231,ST78,Cancer cells and desmoplasia,Cancer,Cancer region
12x31,12,31,0.688571429,1.695769231,ST57,Interstitium,Stroma,
11x31,11,31,0.627857143,1.695769231,ST36,Interstitium,Stroma,
10x31,10,31,0.567142857,1.695769231,ST16,Duct epithelium,Duct epithelium,
9x31,9,31,0.506428571,1.695769231,ST426,Duct epithelium,Duct epithelium,
8x31,8,31,0.445714286,1.695769231,ST413,Duct epithelium,Duct epithelium,
7x31,7,31,0.385,1.695769231,ST406,Duct epithelium,Duct epithelium,
6x31,6,31,0.324285714,1.695769231,ST398,Duct epithelium,Duct epithelium,
26x30,26,30,1.538571429,1.624615385,ST335,Cancer cells and desmoplasia,Cancer,Cancer region
25x30,25,30,1.477857143,1.624615385,ST319,Cancer cells and desmoplasia,Cancer,Cancer region
24x30,24,30,1.417142857,1.624615385,ST303,Cancer cells and desmoplasia,Cancer,Cancer region
23x30,23,30,1.356428571,1.624615385,ST286,Cancer cells and desmoplasia,Cancer,Cancer region
22x30,22,30,1.295714286,1.624615385,ST267,Cancer cells and desmoplasia,Cancer,Cancer region
21x30,21,30,1.235,1.624615385,ST248,Cancer cells and desmoplasia,Cancer,Cancer region
20x30,20,30,1.174285714,1.624615385,ST227,Cancer cells and desmoplasia,Cancer,Cancer region
19x30,19,30,1.113571429,1.624615385,ST205,Cancer cells and desmoplasia,Cancer,Cancer region
18x30,18,30,1.052857143,1.624615385,ST184,Cancer cells and desmoplasia,Cancer,Cancer region
17x30,17,30,0.992142857,1.624615385,ST163,Cancer cells and desmoplasia,Cancer,Cancer region
16x30,16,30,0.931428571,1.624615385,ST142,Cancer cells and desmoplasia,Cancer,Cancer region
15x30,15,30,0.870714286,1.624615385,ST121,Cancer cells and desmoplasia,Cancer,Cancer region
14x30,14,30,0.81,1.624615385,ST99,Cancer cells and desmoplasia,Cancer,Cancer region
13x30,13,30,0.749285714,1.624615385,ST77,Cancer cells and desmoplasia,Cancer,Cancer region
12x30,12,30,0.688571429,1.624615385,ST56,Cancer cells and desmoplasia,Cancer,Cancer region
11x30,11,30,0.627857143,1.624615385,ST35,Duct epithelium,Duct epithelium,
10x30,10,30,0.567142857,1.624615385,ST15,Duct epithelium,Duct epithelium,Duct epithelium
9x30,9,30,0.506428571,1.624615385,ST425,Duct epithelium,Duct epithelium,
26x29,26,29,1.538571429,1.553461538,ST334,Cancer cells and desmoplasia,Cancer,Cancer region
25x29,25,29,1.477857143,1.553461538,ST318,Cancer cells and desmoplasia,Cancer,Cancer region
24x29,24,29,1.417142857,1.553461538,ST302,Cancer cells and desmoplasia,Cancer,Cancer region
23x29,23,29,1.356428571,1.553461538,ST285,Cancer cells and desmoplasia,Cancer,Cancer region
22x29,22,29,1.295714286,1.553461538,ST266,Cancer cells and desmoplasia,Cancer,Cancer region
21x29,21,29,1.235,1.553461538,ST247,Cancer cells and desmoplasia,Cancer,Cancer region
20x29,20,29,1.174285714,1.553461538,ST226,Cancer cells and desmoplasia,Cancer,Cancer region
19x29,19,29,1.113571429,1.553461538,ST204,Cancer cells and desmoplasia,Cancer,Cancer region
18x29,18,29,1.052857143,1.553461538,ST183,Cancer cells and desmoplasia,Cancer,Cancer region
17x29,17,29,0.992142857,1.553461538,ST162,Cancer cells and desmoplasia,Cancer,Cancer region
15x29,15,29,0.870714286,1.553461538,ST120,Cancer cells and desmoplasia,Cancer,Cancer region
14x29,14,29,0.81,1.553461538,ST98,Cancer cells and desmoplasia,Cancer,Cancer region
13x29,13,29,0.749285714,1.553461538,ST76,Cancer cells and desmoplasia,Cancer,Cancer region
12x29,12,29,0.688571429,1.553461538,ST55,Interstitium,Stroma,
11x29,11,29,0.627857143,1.553461538,ST34,Duct epithelium,Duct epithelium,Duct epithelium
10x29,10,29,0.567142857,1.553461538,ST14,Duct epithelium,Duct epithelium,Duct epithelium
9x29,9,29,0.506428571,1.553461538,ST424,Duct epithelium,Duct epithelium,
27x28,27,28,1.599285714,1.482307692,ST346,Cancer cells and desmoplasia,Cancer,Cancer region
26x28,26,28,1.538571429,1.482307692,ST333,Cancer cells and desmoplasia,Cancer,Cancer region
25x28,25,28,1.477857143,1.482307692,ST317,Cancer cells and desmoplasia,Cancer,Cancer region
24x28,24,28,1.417142857,1.482307692,ST301,Cancer cells and desmoplasia,Cancer,Cancer region
23x28,23,28,1.356428571,1.482307692,ST284,Cancer cells and desmoplasia,Cancer,Cancer region
22x28,22,28,1.295714286,1.482307692,ST265,Cancer cells and desmoplasia,Cancer,Cancer region
21x28,21,28,1.235,1.482307692,ST246,Cancer cells and desmoplasia,Cancer,Cancer region
20x28,20,28,1.174285714,1.482307692,ST225,Cancer cells and desmoplasia,Cancer,Cancer region
19x28,19,28,1.113571429,1.482307692,ST203,Interstitium,Stroma,Cancer region
18x28,18,28,1.052857143,1.482307692,ST182,Cancer cells and desmoplasia,Cancer,
17x28,17,28,0.992142857,1.482307692,ST161,Cancer cells and desmoplasia,Cancer,Cancer region
16x28,16,28,0.931428571,1.482307692,ST141,Normal pancreatic tissue,Pancreatic,Cancer region
15x28,15,28,0.870714286,1.482307692,ST119,Normal pancreatic tissue,Pancreatic,Cancer region
14x28,14,28,0.81,1.482307692,ST97,Cancer cells and desmoplasia,Cancer,Cancer region
13x28,13,28,0.749285714,1.482307692,ST75,Interstitium,Stroma,Cancer region
